"Job Title","Occupation","Company","City / State","Metro","Wage","Year"
"Applied Scientist, AI Research","Computer and Information Research Scientists","Salesforce, Inc.","Palo Alto, CA","San Jose-Sunnyvale-Santa Clara, CA","$230,000","2025"
"Architect In Training","Architects, Except Landscape and Naval","Todd and Associates Architecture and Planning, Inc.","Phoenix, AZ","Phoenix-Mesa-Scottsdale, AZ","$33","2025"
"Architect, Domain","Computer Systems Engineers/Architects","The Andersons, Inc.","Maumee, OH","Toledo, OH","$116,563","2025"
"Assembly Maintenance Engineer","Mechanical Engineers","SK Battery America, Inc.","Commerce, GA","","$74,000","2025"
"Assistant Athletic Trainer","Athletic Trainers","Oklahoma Panhandle State University","Goodwell, OK","","$37,340","2025"
"Assistant Athletic Trainer","Athletic Trainers","Administrators of the Tulane Educational Fund","New Orleans, LA","New Orleans-Metairie, LA","$55,000","2025"
"Assistant Athletic Trainer","Athletic Trainers","Brevard College","Brevard, NC","Brevard, NC","$51,000","2025"
"Assistant Athletic Trainer","Athletic Trainers","Middle Tennessee State University","Murfreesboro, TN","Nashville-Davidson--Murfreesboro--Franklin, TN","$51,000","2025"
"Assistant Athletic Trainer","Athletic Trainers","University of Idaho","Moscow, ID","Moscow, ID","$47,424","2025"
"Assistant Athletic Trainer","Athletic Trainers","Administrators of the Tulane Educational Fund","New Orleans, LA","New Orleans-Metairie, LA","$50,000","2025"
"Assistant Chair, Advisor on Curriculum","Instructional Coordinators","Pratt Institute","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$77,250","2025"
"Assistant Director of Int'l Affairs for Int'l Student Eng.","Educational, Guidance, and Career Counselors and Advisors","Pepperdine University","Malibu, CA","","$71,000","2025"
"Assistant Director of Supply Chain Mgmt Career Management","Educational, Guidance, and Career Counselors and Advisors","THE UNIVERSITY OF TENNESSEE","Knoxville, TN","Knoxville, TN","$72,000","2025"
"Assistant Director, Interfaith Center (Stud. Services Prof.)","Directors, Religious Activities and Education","The University of Vermont","Burlington, VT","Burlington-South Burlington, VT","$63,000","2025"
"Assistant Director, Regulatory Affairs and Compliance","Regulatory Affairs Managers","Albert Einstein College of Medicine ","Bronx, NY","New York-Newark-Jersey City, NY-NJ-PA","$131,250","2025"
"ASSISTANT PROFESSOR - PRECISION AGRICULTURE AI ENGINEERING","Engineering Teachers, Postsecondary","South Dakota State University","BROOKINGS, SD","Brookings, SD","$93,992","2025"
"Assistant Professor - Urban Affairs and Planning","Postsecondary Teachers, All Other","Virginia Polytechnic Institute & State University","Arlington, VA","Washington-Arlington-Alexandria, DC-VA-MD-WV","$92,640","2025"
"Assistant Professor of Art in Painting and Drawing","Art, Drama, and Music Teachers, Postsecondary","Old Dominion University","Norfolk, VA","Virginia Beach-Norfolk-Newport News, VA-NC","$62,878","2025"
"Assistant Professor of Aviation (Air Traffic Control)","Career/Technical Education Teachers, Postsecondary","MIDDLE GEORGIA STATE UNIVERSITY","EASTMAN, GA","","$79,436","2025"
"Assistant Professor of Economics and International Affairs","Economics Teachers, Postsecondary","The George Washington University","Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV","$151,421","2025"
"Assistant Professor of Engineering & Supply Chain Management","Engineering Teachers, Postsecondary","Clarkson University","Potsdam, NY","","$125,000","2025"
"Assistant Professor of Logistics & Supply Chain Management","Business Teachers, Postsecondary","University of Central Arkansas","Conway, AR","Little Rock-North Little Rock-Conway, AR","$99,670","2025"
"Assistant Professor of Operations and Supply Chain Mgmt","Business Teachers, Postsecondary","BUTLER UNIVERSITY","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","$125,000","2025"
"Assistant Professor of Supply Chain Management","Business Teachers, Postsecondary","The Curators of the University of Missouri/University of Missouri-Kansas City","Kansas City, MO","Kansas City, MO-KS","$149,185","2025"
"Assistant Professor, Civil, Environmental & Sustainable Eng.","Engineering Teachers, Postsecondary","President and Board of Trustees of Santa Clara College","Santa Clara, CA","San Jose-Sunnyvale-Santa Clara, CA","$126,841","2025"
"Assistant Vice President Sustainable Project Finance","Financial and Investment Analysts","Barclays Capital Inc. ","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$200,000","2025"
"Assistant Vice President, Technology Development, Retail","Software Developers","Tradeweb Markets LLC","Jersey City, NJ","New York-Newark-Jersey City, NY-NJ-PA","$145,000","2025"
"Assistant/Associate Curator of Chinese Painting&Calligraphy","Museum Technicians and Conservators","The Metropolitan Museum of Art","New York, NY","New York-Newark-Jersey City, NY-NJ-PA","$90,000","2025"
"Associate AI Engineer","Data Scientists","Upsite Clinical, Inc.","Wellesley, MA","Boston-Cambridge-Newton, MA-NH","$80,000","2025"
"Associate AI/ ML Engineer","Software Developers","Mayo Clinic ","Madison, WI","Madison, WI","$94,848","2025"
"Associate Athletic Trainer","Athletic Trainers","University of Georgia; OGE","Athens, GA","Athens-Clarke County, GA","$72,800","2025"
"Associate Dean of Academic Affairs","Education Administrators, Postsecondary","Lincoln Memorial University","Orange Park, FL","Jacksonville, FL","$200,000","2025"
"Associate Dean, Academic Affairs/Associate Clinical Prof.","Health Specialties Teachers, Postsecondary","University of New England","Portland, ME","Portland-South Portland, ME","$187,000","2025"
"Associate Director AI Architect/Systems Engineer","Computer Systems Engineers/Architects","Eli Lilly and Company","Indianapolis, IN","Indianapolis-Carmel-Anderson, IN","$175,000","2025"
